timestamp_utc,run_tag,train_subset_rows,val_subset_rows,batch_size,max_audio_seconds,use_disk_cache,epochs_ran,best_epoch,last_loss,last_pr_auc,last_val_loss,last_val_pr_auc,last_val_precision_at_0_2,last_val_recall_at_0_2,best_val_pr_auc,best_val_precision_at_0_2,best_val_recall_at_0_2,threshold_best,threshold_precision,threshold_recall,threshold_f1,train_rows_full_split,val_rows_full_split,steps_per_epoch,validation_steps,min_rating,min_samples,num_classes,max_cache_gb,regularization_profile,early_stopping_monitor,checkpoint_best_path,checkpoint_last_path,threshold_eval_rows,threshold_eval_batches,run_id,random_crop_seconds,validation_num_crops,validation_eval_rows,hard_negative_enabled,hard_negative_db_threshold,hard_negative_sample_prob,use_log_mel_pcen,n_mels,mel_fmin,mel_fmax,stft_frame_length,stft_frame_step,pcen_alpha,pcen_delta,pcen_r,pcen_smooth_coef,threshold_eval_num_crops,train_soundscape_rows,use_train_soundscape_labels,last_val_contest_auc,best_val_contest_auc,epoch_start,epoch_end,model_type,quick_run,feature_bins,threshold_eval_samples,model_name,best_val_loss,use_log_mel
2026-04-01T15:46:07+00:00,subset_1000_300,1000,300,16,,False,5,5,0.248307928442955,0.0083335563540458,0.2400687485933303,0.0221632570028305,0.0136986300349235,0.0227920226752758,0.0221632570028305,0.0136986300349235,0.0227920226752758,0.1,0.0046031540259718,0.2362637370824813,0.0086045553907752,13639.0,3409.0,62.0,18.0,4.0,32000.0,182.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260401_1534.keras,checkpoints/last_epoch.keras,200.0,12.0,20260401_1534,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,2.0,,,,,,,,,,,,,
2026-04-01T16:24:37+00:00,subset_1000_300,1000,300,16,,False,5,5,0.2471965104341507,0.0078372787684202,0.2392211258411407,0.0177203007042408,0.025996534153819,0.0427350439131259,0.0177203007042408,0.025996534153819,0.0427350439131259,0.1,0.0038223420269787,0.2261904627084732,0.0074660670943558,13639.0,3409.0,62.0,18.0,4.0,32000.0,182.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260401_1612.keras,checkpoints/last_epoch.keras,200.0,12.0,20260401_1612,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,2.0,,,,,,,,,,,,,
2026-04-01T21:12:38+00:00,subset_13639_3409,13639,3409,16,,False,10,10,0.1987123340368271,0.0248548258095979,0.1973046511411667,0.0392710268497467,0.0472305938601493,0.401127278804779,0.0392710268497467,0.0472305938601493,0.401127278804779,0.2,0.0250496435910463,0.2154892683029174,0.0407760702073574,13639.0,3409.0,852.0,213.0,4.0,32000.0,182.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260401_1638.keras,checkpoints/last_epoch.keras,300.0,18.0,20260401_1638,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,3.0,,,,,,,,,,,,,
2026-04-02T02:45:19+00:00,subset_13639_3409,13639,3409,16,,False,10,10,0.2306242436170578,0.007555628195405,0.2331507354974746,0.0082958349958062,0.0318940877914428,0.0497886314988136,0.0082958349958062,0.0318940877914428,0.0497886314988136,0.05,0.0064141396433115,0.4626765847206116,0.0125899286940693,13639.0,3409.0,852.0,213.0,4.0,32000.0,182.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260401_2210.keras,checkpoints/last_epoch.keras,300.0,18.0,20260401_2210,40.0,3.0,300.0,True,-50.0,0.25,True,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,3.0,,,,,,,,,,,,,
2026-04-02T04:18:30+00:00,subset_500_150,500,150,16,,False,5,5,0.2385146915912628,0.0171957034617662,0.2424540519714355,0.0378934815526008,0.040920715779066,0.2211981564760208,0.0378934815526008,0.040920715779066,0.2211981564760208,0.2,0.0104850111529231,0.0703100711107254,0.0171697624027729,14230.0,3557.0,31.0,9.0,4.0,32000.0,215.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260402_0411.keras,checkpoints/last_epoch.keras,150.0,9.0,20260402_0411,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,2.0,739.0,True,,,,,,,,,,,
2026-04-02T09:51:38+00:00,subset_14230_3557,14230,3557,16,,False,10,10,0.1715585738420486,0.0990345627069473,0.1665656119585037,0.14376200735569,0.0554277673363685,0.4690246880054474,0.14376200735569,0.0554277673363685,0.4690246880054474,0.25,0.068781167268753,0.2637588381767273,0.0999506413936615,14230.0,3557.0,889.0,222.0,4.0,32000.0,215.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_pr_auc,checkpoints/best_model_20260402_0518.keras,checkpoints/last_epoch.keras,300.0,18.0,20260402_0518,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,3.0,739.0,True,,,,,,,,,,,
2026-04-03T04:30:50+00:00,subset_500_150,500,150,16,,False,4,2,0.2374204099178314,0.0101866945624351,0.249171495437622,0.0366971865296363,0.0406360439956188,0.105990782380104,0.0312932804226875,0.0385638289153575,0.1336405575275421,0.1,0.0064450148493051,0.1934108585119247,0.0115860449150204,14230.0,3557.0,31.0,9.0,4.0,32000.0,215.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_contest_auc,checkpoints/best_model_20260403_0414.keras,checkpoints/last_epoch.keras,150.0,9.0,20260403_0414,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,2.0,739.0,True,0.5822187805865429,0.5834505786972539,,,,,,,,,
2026-04-03T05:39:00+00:00,subset_400_100,400,100,16,,False,7,7,0.2499978989362716,0.0215757954865694,0.2365140318870544,0.0398335382342338,0.053191490471363,0.139860138297081,0.0398335382342338,0.053191490471363,0.139860138297081,0.2,0.0158463716506958,0.0418604649603366,0.0203878488391637,14230.0,3557.0,25.0,6.0,4.0,32000.0,215.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_contest_auc,checkpoints/best_model_20260403_0527.keras,checkpoints/last_epoch.keras,100.0,6.0,20260403_0527,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,2.0,739.0,True,0.5970363765587428,0.5970363765587428,1.0,7.0,,,,,,,
2026-04-03T15:55:40+00:00,subset_14230_3557,14230,3557,16,,False,10,10,0.169509008526802,0.0960587263107299,0.1642843931913375,0.1539167314767837,0.0575665719807148,0.4809543788433075,0.1539167314767837,0.0575665719807148,0.4809543788433075,0.2,0.0714325681328773,0.3131094872951507,0.1037582904100418,14230.0,3557.0,889.0,222.0,4.0,32000.0,215.0,300.0,spatial_dropout0.2_lstm_dropout0.2_l2_1e-4_dense_dropout0.3,val_contest_auc,checkpoints/best_model_20260403_0620.keras,checkpoints/last_epoch.keras,300.0,18.0,20260403_0620,40.0,3.0,300.0,True,-50.0,0.25,False,128.0,50.0,14000.0,1024.0,320.0,0.98,2.0,0.5,0.04,3.0,739.0,True,0.85080679927997,0.85080679927997,1.0,10.0,,,,,,,
2026-05-30T15:25:28+00:00,,400,100,16,,,7,4,0.2529328823089599,,0.2840890948261533,,,,,,,0.1,0.0110860192978854,0.3673469387755102,0.0215225189318453,14230.0,3557.0,,,,,215.0,,,,checkpoints/best_model_20260530_1519.pt,,,,20260530_1519,,,,,,,False,,,,,,,,,,,,,0.5015373355142533,0.5074613823361191,1.0,7.0,pytorch_birdclef,True,513.0,100.0,,,
2026-05-30T15:47:40+00:00,,400,100,16,,,7,2,0.252535560131073,,0.2806379156453268,,,,,0.0129310344827586,0.0816326530612244,0.2,,,0.0223255813953488,14230.0,3557.0,,,,,215.0,,,,checkpoints/best_model_20260530_1542.pt,,,,20260530_1542,,,,,,,False,,,,,,,,,,,,,0.4891722270314405,0.5290753601618685,1.0,7.0,pytorch_birdclef,True,513.0,100.0,pytorch_birdclef,0.271824694105557,
2026-05-30T16:27:34+00:00,,400,100,16,,,7,4,0.2424023950099945,,0.2833716060434069,,,,,0.0163934426229508,0.0272108843537414,0.2,,,0.0204603580562659,14230.0,3557.0,,,,,215.0,,,,checkpoints/best_model_20260530_1620.pt,,,,20260530_1620,,,,,,,,,,,,,,,,,,,,0.553550309444562,0.5612764948692978,1.0,7.0,pytorch_birdclef,True,128.0,100.0,pytorch_birdclef,0.276150392634528,True
2026-05-30T17:25:13+00:00,,400,100,64,,,7,2,0.2547043817383902,,0.2863862216472626,,,,,0.007289416846652268,0.7346938775510204,0.30000000000000004,,,0.01443560783265388,14230.0,3557.0,,,,,215.0,,,,checkpoints/best_model_20260530_1720.pt,,,,20260530_1720,,,,,,,,,,,,,,,,,,,,0.5227662833144882,0.5254965178834494,1.0,7.0,pytorch_birdclef,True,128.0,100.0,pytorch_birdclef,0.4931457042694092,True
